kdcode,sector
AAPL,Technology
ADBE,Technology
ADI,Technology
ADP,Technology
ADSK,Technology
AEP,Utilities
ALGN,Healthcare
AMAT,Technology
AMD,Technology
AMGN,Healthcare
AMZN,Consumer Cyclical
ANSS,Unknown
ASML,Technology
AVGO,Technology
AZN,Healthcare
BKNG,Consumer Cyclical
CDNS,Technology
CHTR,Communication Services
CMCSA,Communication Services
COST,Consumer Defensive
CPRT,Industrials
CSCO,Technology
CSGP,Real Estate
CSX,Industrials
CTAS,Industrials
CTSH,Technology
DLTR,Consumer Defensive
DXCM,Healthcare
EA,Communication Services
EBAY,Consumer Cyclical
EXC,Utilities
FANG,Energy
FAST,Industrials
FTNT,Technology
GILD,Healthcare
GOOG,Communication Services
GOOGL,Communication Services
HON,Industrials
IDXX,Healthcare
ILMN,Healthcare
INTC,Technology
INTU,Technology
ISRG,Healthcare
JD,Consumer Cyclical
KDP,Consumer Defensive
KHC,Consumer Defensive
KLAC,Technology
LRCX,Technology
LULU,Consumer Cyclical
MAR,Consumer Cyclical
MCHP,Technology
MDLZ,Consumer Defensive
MELI,Consumer Cyclical
MNST,Consumer Defensive
MRVL,Technology
MSFT,Technology
MU,Technology
NFLX,Communication Services
NVDA,Technology
NXPI,Technology
ODFL,Industrials
OKTA,Technology
ON,Technology
ORLY,Consumer Cyclical
PANW,Technology
PAYX,Technology
PCAR,Industrials
PEP,Consumer Defensive
PYPL,Financial Services
QCOM,Technology
REGN,Healthcare
ROST,Consumer Cyclical
SBUX,Consumer Cyclical
SIRI,Communication Services
SNPS,Technology
TEAM,Technology
TMUS,Communication Services
TSLA,Consumer Cyclical
TXN,Technology
VRSK,Industrials
VRTX,Healthcare
WBA,Unknown
WBD,Communication Services
WDAY,Technology
