kdcode,sector
2330,Technology
2317,Technology
2454,Technology
2308,Technology
2382,Technology
2303,Technology
2412,Communication Services
2881,Financial Services
2882,Financial Services
2891,Financial Services
2886,Financial Services
2884,Financial Services
2885,Financial Services
2892,Financial Services
2880,Financial Services
2887,Financial Services
2890,Financial Services
2883,Financial Services
1216,Consumer Defensive
1301,Basic Materials
1303,Basic Materials
1326,Basic Materials
2002,Basic Materials
2207,Consumer Cyclical
2301,Technology
2327,Technology
2357,Technology
2379,Technology
2395,Technology
2409,Technology
2603,Industrials
2609,Industrials
2615,Industrials
2912,Consumer Defensive
3008,Technology
3034,Technology
3037,Technology
3045,Consumer Cyclical
3711,Technology
4904,Communication Services
4938,Technology
5871,Financial Services
5876,Financial Services
5880,Financial Services
6505,Energy
6669,Technology
9910,Consumer Cyclical
1101,Basic Materials
2408,Technology
3661,Technology
