,ARR,AVol,SR,MDD,CR,IR
SmartFolio-HGAT-IRL (final),-0.0578211228601359,0.265172747462181,-0.2245822553036489,-0.2383680190017979,-0.242570807536475,-2.1211898623123524
SmartFolio-HGAT-IRL (best-val),0.2525651917000873,0.2326052868637273,0.968568918884288,-0.1596393356745268,1.5820987392168682,0.171883307591657
SmartFolio-HGAT-CF (final),0.1858945013340969,0.2240970700405493,0.7610765884801574,-0.1562558672522673,1.1896801355559945,-0.3926194939428047
SmartFolio-HGAT-CF (best-val),0.0850783054089221,0.2244115431830179,0.3639090211889542,-0.1984683011328972,0.4286745284928522,-1.5879325162969429
SmartFolio-HGAT-GAIL (final),0.1678045619885382,0.207059653161402,0.749413498338676,-0.1973814606028509,0.8501536135968513,-0.5601565998125219
SmartFolio-HGAT-GAIL (best-val),0.2713371003171698,0.2311283864233295,1.0391781519047822,-0.1314992550326762,2.0634116919502343,0.3040993084398156
SmartFolio-HGAT-BT (final),0.1904387676720207,0.2167260434734368,0.8046206932020313,-0.1459324790020946,1.3049786378897004,-0.3475558517118557
SmartFolio-HGAT-BT (best-val),0.0782997230337507,0.2008400026919967,0.3754070200034458,-0.1400087016587582,0.5592489760000052,-1.3710338472267734
SmartFolio-MLP-IRL (final),-0.0031851506763785,0.2363973055669855,-0.0134951363539968,-0.2407010935902548,-0.0132328051728783,-2.065386862822121
SmartFolio-MLP-IRL (best-val),0.2461280862892754,0.2562019669249885,0.8592334844484197,-0.2120936296703287,1.1604690186680695,0.1247117606068189
SmartFolio-MLP-CF (final),0.1515499183938591,0.2387944966938349,0.5910869251410342,-0.1843007038693084,0.8222970135877854,-0.7379888535593614
SmartFolio-MLP-CF (best-val),0.1046298505839398,0.2086273618726267,0.4770704624713521,-0.1944433574629749,0.5380993825097007,-1.250095599785248
SmartFolio-MLP-GAIL (final),0.3781820353535192,0.2499306105545193,1.284234445945737,-0.1540645658241437,2.4546983489064798,1.002815344704388
SmartFolio-MLP-GAIL (best-val),0.3115185744621762,0.2369198768120096,1.1452464648148053,-0.1426541136223356,2.183733553501966,0.7466450455652351
SmartFolio-MLP-BT (final),-0.0340669531553381,0.2916260009914244,-0.1188452784762262,-0.3021110646893216,-0.1127630104854689,-1.6694573487293074
SmartFolio-MLP-BT (best-val),0.3665016583014846,0.2380566857008328,1.3124919231775871,-0.1178704242583849,3.109360644177141,1.331312171016702
EqualWeight(1/N),0.2311491845961699,0.2062611515712155,1.0085944445664443,-0.1370950949195671,1.686049998592464,0.0
BuyAndHold,0.2155252630365145,0.2004472038537758,0.974081440411802,-0.1333464312573375,1.616280698360684,-0.6903371677214615
Random-topk,0.2319059864201784,0.2329590665794544,0.8956461132028105,-0.1452656552316125,1.596426808872517,0.0069940410056747
Momentum-topk,0.2846663270493255,0.3293201257522438,0.7610332382226839,-0.2079453127630002,1.3689480338215936,0.2155272532918301
