,ARR,AVol,SR,MDD,CR,IR
SmartFolio-HGAT-IRL (final),0.1422322603809915,0.2836697651818815,0.4689240181735105,-0.2072684259274452,0.6862225143292221,-0.2524887206736205
SmartFolio-HGAT-IRL (best-val),0.1422322603809915,0.2836697651818815,0.4689240181735105,-0.2072684259274452,0.6862225143292221,-0.2524887206736205
SmartFolio-HGAT-GAIL (final),0.0713379264906444,0.2877772327554779,0.2394827675993173,-0.2592467856394213,0.2751738129161078,-0.8507044450294124
SmartFolio-HGAT-GAIL (best-val),0.2916995951708425,0.3039591281517766,0.8425109730709093,-0.1949070211778847,1.4966089646643292,0.9047456833479788
SmartFolio-MLP-IRL (final),0.1864280088993857,0.2808437987249231,0.6088975998135393,-0.1714161406441463,1.0875755818491064,0.0627421744293141
SmartFolio-MLP-IRL (best-val),0.1162536616967939,0.2585405672208519,0.4254734049097629,-0.1953692982504754,0.5950457044061735,-0.5245758948702952
SmartFolio-MLP-GAIL (final),0.2508720579167545,0.3051027820810506,0.7339834679699728,-0.265497988327608,0.944911332462504,0.426752646109769
SmartFolio-MLP-GAIL (best-val),0.2079679557679248,0.2786430412688155,0.6783245653995373,-0.1924144451768301,1.0808333832566517,0.2233370809777701
EqualWeight(1/N),0.1786789469918448,0.265577211014082,0.6192094114347074,-0.1764854219344372,1.0124289305788805,0.0
Momentum-topk,0.7482033058102358,0.3537162435746175,1.5809512163057828,-0.2281416920715652,3.279555345699521,1.9586682477507689
